Nome,Universidade,Campus,Cidade,Email,Site,Eixo,Temática,Ano de criação,Instagram,Facebook,Twitter,YouTube,Estado,Site na instituição,Wikipedia_title,Wikipedia_URL,Universidade_Wikidata_id
PET Bacharelado em Ciência da Computação,Universidade Federal de São Carlos,Campus São Carlos,São_Carlos,petbcc@ufscar.br,petbcc.ufscar.br,Ciências Exatas e da Terra,Desenvolvimento de Software,2009,https://instagram.com/petbcc.ufscar,https://fb.com/petbcc,https://twitter.com/petbcc,https://www.youtube.com/channel/UCyoSac6aP0aGWMDw0XnsnqA, SP,,Federal University of São Carlos,https://en.wikipedia.org/wiki/Federal_University_of_S%C3%A3o_Carlos,Q5440482
PET Tecnologias em Saúde,Universidade Federal de São Paulo,Campus São Paulo,São_Paulo,pet.tecnologias@unifesp.br,pet-tecnologias.blogspot.com/,Interdisciplinar,Estudo das Ciências Exatas aplicadas ao corpo humano,2013,https://instagram.com/pettecnologias,https://www.facebook.com/PET.Tecnologias,,https://www.youtube.com/channel/UCQAbQRCOE0YglOpV4e2hlqQ, SP,www.unifesp.br/reitoria/prograd/programas-institucionais/pet,Federal University of São Paulo,https://en.wikipedia.org/wiki/Federal_University_of_S%C3%A3o_Paulo,Q4384447
PET Conexões de Saberes Serviço Social,Universidade Federal de Alagoas,Campus A. C. Simões,Maceió,petssoufal@gmail.com,petssoufal.wixsite.com/petssoufal,Ciências Sociais Aplicadas,Política Nacional de Assistência Social (PNAS),2010,https://instagram.com/petssoufal,,,, AL,ufal.br/estudante/graduacao/programas/educacao-tutorial-pet/pet-servico-social,Federal University of Alagoas,https://en.wikipedia.org/wiki/Federal_University_of_Alagoas,Q5440475
PET ProdBio,Universidade Federal do Espírito Santo,Campus São Mateus,São_Mateus,petprodbio@gmail.com,petprodbio.saomateus.ufes.br/,Interdisciplinar,Pesca,2013,https://instagram.com/petprodbio,https://www.facebook.com/PETProdBio/,,https://www.youtube.com/channel/UC3T_Aw60h1Dp0qopqIGZG9Q, ES,www.prograd.ufes.br/programa-de-educacao-tutorial-pet,Federal University of Espírito Santo,https://en.wikipedia.org/wiki/Federal_University_of_Esp%C3%ADrito_Santo,Q10387830
GET Engenharia Ambiental e Sanitária,Universidade Federal de Juiz de Fora,Campus Juiz de Fora,Juiz_de_Fora,get.esa@engenharia.ufjf.br,,Engenharias,,2011,https://instagram.com/get_esa,https://www.facebook.com/getesaufjf,,https://www.youtube.com/channel/UCl2TzKviGXBZpo1Zk4-Hc0Q, MG,,Federal University of Juiz de Fora,https://en.wikipedia.org/wiki/Federal_University_of_Juiz_de_Fora,Q7894373
PET Matemática,Universidade Federal de Uberlândia,Campus Pontal,Ituiutaba,petmatpontal@gmail.com,www.petmat.facip.ufu.br/,Ciências Exatas e da Terra,,2010,https://instagram.com/petmatpontal,https://www.facebook.com/PETMatematicaPontalUFU,,https://www.youtube.com/channel/UC9eA-ceJzvRnibs1eCzoYjA, MG,,Federal University of Uberlândia,https://en.wikipedia.org/wiki/Federal_University_of_Uberl%C3%A2ndia,Q5440489
PET Arquitetura e Urbanismo,Pontifícia Universidade Católica de Campinas,Campus I,Campinas,arquiteturapet@gmail.com,arquiteturapet.wixsite.com/petarquiteturapucc,Ciências Sociais Aplicadas,,1992,https://instagram.com/petarquiteturapucc,https://www.facebook.com/petarquiteturapucc,,, SP,,Pontifical Catholic University of Campinas,https://en.wikipedia.org/wiki/Pontifical_Catholic_University_of_Campinas,Q839900
GET Telecom,Universidade Federal de Uberlândia,Campus Santa Mônica,Uberlândia,petelecomufu@gmail.com,petelecom.github.io/petelecom/,Engenharias,,2020,https://instagram.com/petelecom_ufu,,,https://www.youtube.com/c/PETTelecomUFU/featured, MG,,Federal University of Uberlândia,https://en.wikipedia.org/wiki/Federal_University_of_Uberl%C3%A2ndia,Q5440489
PET Fisioterapia,Universidade Federal de Alfenas,Campus Alfenas,Alfenas,petfisiounifal@gmail.com,,Ciências da Saúde,,2010,https://instagram.com/petfisiounifal,https://www.facebook.com/PetFisioterapiaUnifal/,,https://www.youtube.com/channel/UCWlwHpvP-ASAk9HKHqz5W-A, MG,www.unifal-mg.edu.br/petfisioterapia/,Federal University of Alfenas,https://en.wikipedia.org/wiki/Federal_University_of_Alfenas,Q10387825
PET Biologia,Universidade Federal de Viçosa,Campus Viçosa,Viçosa,petbio@ufv.br,petbioufv.blogspot.com/,Ciências Biológicas,,1985,https://instagram.com/petbiologiaufv,https://pt-br.facebook.com/PET-Biologia-UFV-325757977459425/,,https://www.youtube.com/channel/UCxmX5MDaELEqZJzGARzlMxw/featured, MG,www.petbio.ufv.br/,Federal University of Viçosa,https://en.wikipedia.org/wiki/Federal_University_of_Vi%C3%A7osa,Q5814528
