Nome,Universidade,Campus,Cidade,Email,Site,Eixo,Temática,Ano de criação,Instagram,Facebook,Twitter,YouTube,Contato1,Estado,Site na instituição
PET Bacharelado em Ciência da Computação,Universidade Federal de São Carlos,Campus São Carlos,São Carlos ,petbcc@ufscar.br,petbcc.ufscar.br,Ciências Exatas e da Terra,Desenvolvimento de Software,2009,https://instagram.com/petbcc.ufscar,https://fb.com/petbcc,https://twitter.com/petbcc,https://www.youtube.com/channel/UCyoSac6aP0aGWMDw0XnsnqA,https://www.linkedin.com/company/pet-bcc-ufscar, SP,
PET Tecnologias em Saúde,Universidade Federal de São Paulo,Campus São Paulo,São Paulo ,pet.tecnologias@unifesp.br,pet-tecnologias.blogspot.com/,Interdisciplinar,Estudo das Ciências Exatas aplicadas ao corpo humano,2013,https://instagram.com/pettecnologias,https://www.facebook.com/PET.Tecnologias,,https://www.youtube.com/channel/UCQAbQRCOE0YglOpV4e2hlqQ,, SP,www.unifesp.br/reitoria/prograd/programas-institucionais/pet
PET Conexões de Saberes Serviço Social,Universidade Federal de Alagoas,Campus A. C. Simões,Maceió ,petssoufal@gmail.com,petssoufal.wixsite.com/petssoufal,Ciências Sociais Aplicadas,Política Nacional de Assistência Social (PNAS),2010,https://instagram.com/petssoufal,,,,http://linktr.ee/petssoufal, AL,ufal.br/estudante/graduacao/programas/educacao-tutorial-pet/pet-servico-social
PET ProdBio,Universidade Federal do Espírito Santo,Campus São Mateus,São Mateus ,petprodbio@gmail.com,petprodbio.saomateus.ufes.br/,Interdisciplinar,Pesca,2013,https://instagram.com/petprodbio,https://www.facebook.com/PETProdBio/,,https://www.youtube.com/channel/UC3T_Aw60h1Dp0qopqIGZG9Q,https://petprodbio.wixsite.com/petinforma, ES,www.prograd.ufes.br/programa-de-educacao-tutorial-pet
GET Engenharia Ambiental e Sanitária,Universidade Federal de Juiz de Fora,Campus Juiz de Fora,Juiz de Fora ,get.esa@engenharia.ufjf.br,,Engenharias,,2011,https://instagram.com/get_esa,https://www.facebook.com/getesaufjf,,https://www.youtube.com/channel/UCl2TzKviGXBZpo1Zk4-Hc0Q,https://www.linkedin.com/in/get-esa-ufjf-4011161b6/, MG,
PET Matemática,Universidade Federal de Uberlândia,Campus Pontal,Ituiutaba ,petmatpontal@gmail.com,www.petmat.facip.ufu.br/,Ciências Exatas e da Terra,,2010,https://instagram.com/petmatpontal,https://www.facebook.com/PETMatematicaPontalUFU,,https://www.youtube.com/channel/UC9eA-ceJzvRnibs1eCzoYjA,, MG,
PET Arquitetura e Urbanismo,Pontifícia Universidade Católica de Campinas,Campus I,Campinas ,arquiteturapet@gmail.com,arquiteturapet.wixsite.com/petarquiteturapucc,Ciências Sociais Aplicadas,,1992,https://instagram.com/petarquiteturapucc,https://www.facebook.com/petarquiteturapucc,,,https://linktr.ee/PET_ARQUITETURA_E_URBANISMO, SP,
GET Telecom,Universidade Federal de Uberlândia,Campus Santa Mônica,Uberlândia ,petelecomufu@gmail.com,petelecom.github.io/petelecom/,Engenharias,,2020,https://instagram.com/petelecom_ufu,,,https://www.youtube.com/c/PETTelecomUFU/featured,, MG,
PET Fisioterapia,Universidade Federal de Alfenas,Campus Alfenas,Alfenas ,petfisiounifal@gmail.com,,Ciências da Saúde,,2010,https://instagram.com/petfisiounifal,https://www.facebook.com/PetFisioterapiaUnifal/,,https://www.youtube.com/channel/UCWlwHpvP-ASAk9HKHqz5W-A,, MG,www.unifal-mg.edu.br/petfisioterapia/
PET Biologia,Universidade Federal de Viçosa,Campus Viçosa,Viçosa ,petbio@ufv.br,petbioufv.blogspot.com/,Ciências Biológicas,,1985,https://instagram.com/petbiologiaufv,https://pt-br.facebook.com/PET-Biologia-UFV-325757977459425/,,https://www.youtube.com/channel/UCxmX5MDaELEqZJzGARzlMxw/featured,, MG,www.petbio.ufv.br/
PET Conexões de Saberes - Penedo,Universidade Federal de Alagoas,Campus Arapiraca,Arapiraca ,petcspenedo@gmail.com,petcspenedo.wixsite.com/petcspenedoufal,Interdisciplinar,,2010,https://instagram.com/petcspenedoufal,https://www.facebook.com/petcspenedoufal,https://twitter.com/petcspenedoufal,https://youtube.com/c/PETConexoesdeSaberesPenedoUFAL,, AL,ufal.br/estudante/graduacao/programas/educação-tutorial-pet/pet-penedo
PET Ciências Biológicas,Universidade Estadual Paulista Júlio de Mesquita Filho,Campus São José do Rio Preto,São José do Rio Preto ,petbiologiaibilce@gmail.com,petbiologiaibilce.wixsite.com/petbio,Ciências Biológicas,,1994,https://instagram.com/petbiologiaunesp,https://www.facebook.com/petbiologiaunespibilce,,https://www.youtube.com/channel/UCKb85nDFp9nSliIsdvsizoQ,, SP,www.ibilce.unesp.br/#!/graduacao/cursos/ciencias-biologicas/pet-biologia/
PET Ciência e Tecnologia,Universidade Federal de Alagoas,Campus A. C. Simões,Maceió ,petct.ufal@gmail.com,www.google.com/url?sa=t&source=web&rct=j&url=http://pet.ufal.br/cet/&ved=2ahUKEwi7xPPtsdPsAhXHGbkGHWPADroQFjAAegQIAhAB&usg=AOvVaw3C0xFUwTxke425Qmjh9mLM,Interdisciplinar,Programa de Apoio aos Estudantes das Escolas Públicas do Estado,2010,https://instagram.com/petct.ufal,,,https://www.youtube.com/channel/UCUbsomXy64w4CJ_kQMc-L7g,, AL,pet.ufal.br/cet/
PET Ações das Engenharias,Universidade Federal de Alagoas,Campus Sertão,Sertão ,pet.engenharias@gmail.com,pet.ufal.br/engenharias/,Engenharias,,2010,https://instagram.com/pet.engenharias,https://www.facebook.com/petengenharias,,https://www.youtube.com/user/PETEngenhariasUFAL,https://www.linkedin.com/company/petengenharias/, AL,
PET Letras,Fundação Universidade Federal do Pampa,Campus Bagé,Bagé ,pet.letrasbage@gmail.com,,"Linguística, Letras e Arte",,2010,https://instagram.com/pet.letrasbage,https://www.facebook.com/pet.letras2bage/,,https://www.youtube.com/channel/UCTM6uHyqJEjM5uIEQO8C3VA,https://linktr.ee/pet.letrasbage, RS,sites.unipampa.edu.br/petletrasbage/o-pet-letras/
PET Matemática,Universidade Estadual Paulista Júlio de Mesquita Filho,Campus São José do Rio Preto,São José do Rio Preto ,petmatibilce@gmail.com,,Ciências Exatas e da Terra,,1988,https://instagram.com/petmatibilce,https://www.facebook.com/petmatematicaibilce,,https://www.youtube.com/channel/UC1-c81KSiCxji4tTNNqZoeQ,, SP,www.ibilce.unesp.br/#!/departamentos/matematica/pet/apresentacao/
PET Agronomia,Universidade Federal do Recôncavo da Bahia,Campus Cruz das Almas,Cruz das Almas ,petagronomiaufrb@gmail.com,www2.ufrb.edu.br/petagronomia/,Ciências Agrárias,,1988,https://instagram.com/petagronomiaufrb_oficial,,,,http://linktr.ee/petagronomiaufrb_oficial, BA,www2.ufrb.edu.br/pet/o-pet
PET Engenharia Civil,Universidade Tecnológica Federal do Paraná,Campus Campo Mourão,Campo Mourão ,pet.civil.cm@gmail.com,www.petcivil.com.br/,Engenharias,,2010,https://instagram.com/petcivilutfpr,https://www.facebook.com/petcivilutfprcm,,http://www.youtube.com/c/PETCivilUTFPRCM,, PR,
PET Engenharia Elétrica,Universidade Federal de Itajubá,Campus Prof. José Rodrigues Seabra,Itaubá ,peteletricaunifei@gmail.com,peteletricaunifei.blogspot.com/,Engenharias,Engenharias Elétrica e Eletrônica,1992,https://instagram.com/peteletricaunifei,https://www.facebook.com/peteletricaunifei/,,https://www.youtube.com/channel/UC5Fy4NlGFrNFvTqVKUNhrag/featured?view_as=subscriber,https://www.linkedin.com/company/pet-el%C3%A9trica-unifei, MG,unifei.edu.br/prg/pet/
GET Engenharia Computacional,Universidade Federal de Juiz de Fora,Campus Juiz de Fora,Juiz de Fora ,get.engcomputacional@engenharia.ufjf.br,www.ufjf.br/get_engcomp/,Interdisciplinar,,2010,https://instagram.com/get.engcomp,,,https://www.youtube.com/channel/UCzgvhQpo6-WMS4CMP8qlhjQ,, MG,www2.ufjf.br/estudante/pet-e-get/
PET Engenharia de Alimentos,Universidade Estadual de Ponta Grossa,Campus Ponta Grossa,Ponta Grossa ,engalimentos.pet@gmail.com,,Ciências Agrárias,,2010,https://instagram.com/petengalimentos,https://www.facebook.com/petengalimuepg,,,, PR,
